text,star
저게우리였으면  아무한테도연락안와서 밥만먹고끝났을듯 ㅜ ㅜ,10
"촬영 장소? 스케일? 다른 거 다 필요 없다. 최고의 배우들이 자그마한 식탁 위에서 최상의 요리를 만들어냈다. 어떠한 양념, 조미료도 필요하지 않았다.",10
다른 의미로 공포 영화.,8
서로를 잘 모르기에 함께 살 수 있는 우리들,10
올해  최고의 블랙코미디. 유해진의 연기는 믿고 봅니다.,10
음향감독님 칭찬은 없네요ㅠㅠ 이서진 벨소리 울릴때마다 심장 쫄렸는데,10
57세 키티는 최고!! 간만에 배아프게 웃으며 봤습니다 ^^,10
윤경호라는 배우의 대발견.. 큰 배우들사에서도 전혀 꿀리는거없이 존재감 제대로 사네,10
요즘 망해가는 한국영화들중에 젤만족스러웠다 막장같은 스토리임에도 깔끔한연출과 배우들의 미친 연기력땜에 쫄리면서도 계속웃겨서쉴틈을 안줌 ㅋㅋㅋ,10
35라고 생각했지 57은 정말 생각도 못 했다.,10
꿀잼 허니잼 !!조진웅씨랑 결혼하고싶은생각이 드는영화 ㅠ 강추,10
"게임을 한 후, 하기전 어떤것이 최선의 선택인지 아직도 모르겠다",10
제작비 수십억씩 때려박은 영화들 뺨때리네. 혼자 기대없이 보러갔다가 시간 아깝지않게 봤습니다.,10
염정아 연기 진짜 미쳤다ㅠㅠ...개인적으로 연기 정말 잘한다고 생각하는 배우 연기 스펙트럼 정말 넓다,10
"명배우들 대사 핑퐁이 그렇게 신나고 재밌는 줄 몰랐다.역시 프로들은 다른가보다, 마치 올림픽 탁구 경기를 보는 느낌이였다.",10
고오급 드립의 향연 속에서의 배우들의 편안한 연기에 매료되어 빵 터지기도 했다가 간 쫄리기도 했다가 관중을 들었다 놨다 아주 미친 영화,10
누구든 남들에겐 보이기 싫은 비밀이 있고 그게 드러날까 조마조마하는 마음. 영화 보는 내내 나도 불편한 마음을 느꼈다. 극화시킨 느낌은 있지만 볼만했고 인간관계나 사람의 본심에 대해 생각하게 하는 영화.,10
저게 현실이라면 결혼하면 안되겠다,2
오랜만에 만나는 웰메이드 영화.,10
별 10개줘도 아깝지 않음 이서진 오랜만에 영화 굳이엇음,10
인간관계의 모든것...진짜 너무 적나라하다ㅜ,10
갑자기  아이폰 사파리 검색기록을 지워야겠다는 생각이 문득 들었다.,10
개그적인 요소때매 웃긴 부분은 많음. 하지만 내용이 불쾌해요. 먼저 평점남기신 분 말마따나 남자들의 더러운 뒷얘기를 듣는기분.,5
"웃긴장면이 있는거지, 웃기거나 재밌는 영화는 아닌듯",1
내 웃음 포인트가 남들과 다른가? 코미디 영화를 보고 싶었는데 오히려 이 영화 보고 나니 기분이 다운됨. 중간 중간 웃기는부분은 있지만 전체적으로 심각한 상황이라 웃음이 안 나옴.,4
2시간 동안 가정이 파탄나는 꼴만 봤음 참 찝찝하고 불편하고 기분 안좋았던 영화,1
사람들은 세가지삶을 가지고있다,10
여자친구랑 보지마세요,2
"'재미있으면 공감,재미없으면 비공감'이런거 안따지고   강추!  유해진너무웃김ㅋㅋㅋㅋ",8
이 영화보면 혼자 살고 싶어짐 ^^,1
동성애를 실컷 웃음코드로 쓰고 마지막엔 억지훈계식 결말. 그게 두번 죽이는거다. 당연하단듯 불륜을 숨겨주는 남자들의 의리 또한 웃음코드여서 불쾌했다.,1
남자들의 우정이란게 이런건지 수준낮은 영화,1
불륜 동성애를 웃음으로 만드는 막장 영화 남자들 의리인척 불륜 감싸는것도 웃김,1
왜난재미없지? 내가이상한가,1
와~~ 인간관계대한 묘사를 너무 잘 하시네요.  영화속 영배역할 대사가 공감백배 연기도 잘하시고 멋진 배우이시고 강력 추천입니다!!!,10
본 영화 중 가장 불쾌한 영화. 이런 영화가 평점이 높다는게 신기하고 충격적이다,1
아저씨들이 좋아할 것 같은 영화..,2
"어디서 웃어야할지,  이게 웃으라고 넣은 내용인지 이상한것들이 많았다. 보던중 뛰쳐나올꺼 꾹 참고봤다 그만큼 불편했다",1
저는 이 영화의 평점이 왜 9점대인지 모르겠습니다. 사람을 의심하게 만드는 느낌을 주네요. 등장인물이 거의 다 불륜처럼 드러나있고 하물며 의사소통하는 이성관계는 전부 불륜처럼 느끼도록 그려놓았네요. 과연 이 영화의 ...,1
"판타지는 잠시 접어두고 인간의 이면과 본성을 위트있게 드러낸 영화. 관계에 대해 생각할거리를 많이 던져줍니다. 명대사도 아주 많아요. 올해 처음으로 만족스러웠던 한국영화, 한번 더 보러가려고요. 배우들의 연기력이야 ...",10
진짜 기대 이상.. 혼영하기에 딱 좋은영화입니다!!!!배우들 연기력도 진짜 몰입도 장난아님!!강추합니다!!!,10
